ANO_LETIVO,NM_DIRETORIA,NM_MUNICIPIO,CD_REDE_ENSINO,APR_1,REP_1,ABA_1,APR_2,REP_2,ABA_2,APR_3,REP_3,ABA_3,MESORREGIAO
2013,ARARAQUARA,TRABIJU,1.0,99.15,0.85,0.0,88.43,10.74,0.83,75.93,12.04,12.04,ARARAQUARA
2013,ARARAQUARA,BOA ESPERANCA DO SUL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.01,21.33,9.66,ARARAQUARA
2013,ARARAQUARA,NOVA EUROPA,1.0,98.21,1.79,0.0,94.6,5.03,0.37,86.77,9.52,3.7,ARARAQUARA
2013,ARARAQUARA,MOTUCA,1.0,88.16,11.53,0.31,88.64,10.62,0.73,87.04,6.79,6.17,ARARAQUARA
2013,ASSIS,ASSIS,1.0,0.0,0.0,0.0,94.34,4.33,1.33,88.26,8.41,3.33,ASSIS
2013,ASSIS,IEPE,1.0,0.0,0.0,0.0,93.32,5.57,1.11,86.4,11.9,1.7,ASSIS
2013,ASSIS,PALMITAL,1.0,96.34,3.66,0.0,96.35,3.65,0.0,87.16,9.67,3.17,ASSIS
2013,ASSIS,PARAGUACU PAULISTA,1.0,98.12,1.88,0.0,96.3,3.37,0.34,90.6,5.97,3.43,ASSIS
2013,ASSIS,CANDIDO MOTA,1.0,99.17,0.83,0.0,0.0,0.0,0.0,91.11,3.97,4.93,ASSIS
2013,ASSIS,FLORINEA,1.0,,,,,,,0.0,0.0,0.0,ASSIS
2013,ASSIS,PEDRINHAS PAULISTA,1.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,ASSIS
2013,ASSIS,PLATINA,1.0,95.45,4.55,0.0,0.0,0.0,0.0,98.45,1.55,0.0,ASSIS
2013,ASSIS,TARUMA,1.0,95.17,4.83,0.0,0.0,0.0,0.0,82.98,6.31,10.71,ASSIS
2013,ASSIS,CRUZALIA,1.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,ASSIS
2013,ASSIS,NANTES,1.0,0.0,0.0,0.0,99.06,0.0,0.94,97.93,0.69,1.38,ASSIS
2013,ASSIS,LUTECIA,1.0,90.91,9.09,0.0,0.0,0.0,0.0,84.38,12.5,3.13,ASSIS
2013,ASSIS,MARACAI,1.0,100.0,0.0,0.0,100.0,0.0,0.0,95.83,2.78,1.39,ASSIS
2013,ASSIS,BORA,1.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,ASSIS
2013,AVARE,ARANDU,1.0,0.0,0.0,0.0,93.39,1.85,4.76,80.54,12.84,6.61,ITAPETININGA
